student_id,internship_id,rating,feedback_text,completion_date,would_recommend,recommend_binary
S068,I070,5,Great stipend and learning opportunities,2025-05-25,Yes,1
S050,I061,3,Good experience but could improve code reviews,2025-07-10,Yes,1
S096,I003,4,Good hands-on projects and team collaboration,2025-07-17,Yes,1
S094,I014,5,Excellent mentors and project ownership,2025-07-20,Yes,1
S006,I046,5,Best internship for learning cutting-edge tech,2025-05-02,Yes,1
S100,I060,5,Fantastic team and meaningful work,2025-05-05,Yes,1
S018,I009,5,Fantastic team and meaningful work,2025-10-04,Yes,1
S026,I006,5,Great exposure to industry-standard tools,2025-10-03,Yes,1
S040,I066,4,Great stipend and learning opportunities,2025-06-14,Yes,1
S005,I025,4,Best internship for learning cutting-edge tech,2025-10-01,No,0
S043,I035,3,Best internship for learning cutting-edge tech,2025-06-24,Yes,1
S096,I057,4,Best internship for learning cutting-edge tech,2025-08-27,Yes,1
S089,I064,4,Great stipend and learning opportunities,2025-08-06,Yes,1
S094,I055,3,Good experience but could improve code reviews,2025-05-12,Yes,1
S070,I038,4,Good hands-on projects and team collaboration,2025-09-23,Yes,1
S085,I038,4,Fantastic team and meaningful work,2025-05-12,No,0
S055,I022,5,Fantastic team and meaningful work,2025-07-16,Yes,1
S008,I010,5,Good experience but could improve code reviews,2025-07-12,Maybe,0
S096,I021,3,Amazing work culture and challenging projects,2025-05-11,No,0
S057,I005,4,Good hands-on projects and team collaboration,2025-08-14,No,0
S047,I047,4,Excellent mentors and project ownership,2025-10-05,Maybe,0
S020,I058,4,Best internship for learning cutting-edge tech,2025-06-22,Yes,1
S074,I018,5,Best internship for learning cutting-edge tech,2025-07-04,Yes,1
S084,I036,4,Good hands-on projects and team collaboration,2025-10-07,No,0
S024,I064,5,Good experience but could improve code reviews,2025-05-23,Yes,1
S034,I034,5,Fantastic team and meaningful work,2025-08-20,Maybe,0
S037,I063,4,Good hands-on projects and team collaboration,2025-09-09,Yes,1
S058,I023,5,Fantastic team and meaningful work,2025-09-21,No,0
S041,I045,5,Good hands-on projects and team collaboration,2025-05-26,Maybe,0
S038,I039,5,Amazing work culture and challenging projects,2025-04-17,No,0
S023,I047,5,Great exposure to industry-standard tools,2025-09-12,Yes,1
S018,I031,5,Fantastic team and meaningful work,2025-10-07,Yes,1
S071,I074,4,Fantastic team and meaningful work,2025-05-25,Yes,1
S079,I012,3,Solid internship with real-world impact,2025-07-04,No,0
S093,I062,5,Good experience but could improve code reviews,2025-07-01,Maybe,0
