internship_id,company,domain,role,required_skills,location,duration_months,stipend,rating,total_reviews,description
I001,Ola,Data Analytics,UI Developer Intern,"React Native,JavaScript,Redux,API Integration",Mumbai,4,45000,4.3,76,Work on real-world Data Analytics projects with cutting-edge technologies
I002,PhonePe,Full Stack Development,Full Stack Developer Intern,"Python,IoT,Embedded Systems,Arduino",Pune,6,48000,4.0,148,Work on real-world Full Stack Development projects with cutting-edge technologies
I003,Qualcomm,Frontend Development,Java Developer Intern,"Python,Machine Learning,SQL,Data Analysis",Gurgaon,5,50000,4.5,48,Work on real-world Frontend Development projects with cutting-edge technologies
I004,Cisco,Data Analytics,Software Engineer Intern,"Angular,TypeScript,Node.js,MongoDB",Noida,5,42000,4.8,80,Work on real-world Data Analytics projects with cutting-edge technologies
I005,Salesforce,Frontend Development,AI Research Intern,"HTML,CSS,JavaScript,UI/UX Design,Figma",Noida,5,48000,4.2,105,Work on real-world Frontend Development projects with cutting-edge technologies
I006,Microsoft,IoT Development,Deep Learning Intern,"Python,NLP,Machine Learning,Text Mining",Bangalore,3,48000,4.7,103,Work on real-world IoT Development projects with cutting-edge technologies
I007,HCL,Web Development,UI Developer Intern,"HTML,CSS,JavaScript,UI/UX Design,Figma",Pune,5,50000,4.7,198,Work on real-world Web Development projects with cutting-edge technologies
I008,IBM,IoT Development,AI Research Intern,"Java,Spring Boot,MySQL,REST API",Chennai,6,22000,4.5,63,Work on real-world IoT Development projects with cutting-edge technologies
I009,Infosys,Mobile Development,Backend Engineer Intern,"React Native,JavaScript,Redux,API Integration",Mumbai,4,28000,4.7,123,Work on real-world Mobile Development projects with cutting-edge technologies
I010,LinkedIn,Natural Language Processing,Java Developer Intern,"Python,Data Visualization,Tableau,PowerBI",Chennai,6,60000,4.2,116,Work on real-world Natural Language Processing projects with cutting-edge technologies
I011,Accenture,Frontend Development,Full Stack Developer Intern,"Flutter,Dart,Firebase,REST API",Pune,6,60000,4.5,53,Work on real-world Frontend Development projects with cutting-edge technologies
