student_id,internship_id,rating,feedback_text,completion_date,would_recommend
S068,I070,5,Great stipend and learning opportunities,2025-05-25,Yes
S050,I061,3,Good experience but could improve code reviews,2025-07-10,Yes
S096,I003,4,Good hands-on projects and team collaboration,2025-07-17,Yes
S094,I014,5,Excellent mentors and project ownership,2025-07-20,Yes
S006,I046,5,Best internship for learning cutting-edge tech,2025-05-02,Yes
S100,I060,5,Fantastic team and meaningful work,2025-05-05,Yes
S018,I009,5,Fantastic team and meaningful work,2025-10-04,Yes
S026,I006,5,Great exposure to industry-standard tools,2025-10-03,Yes
S040,I066,4,Great stipend and learning opportunities,2025-06-14,Yes
S005,I025,4,Best internship for learning cutting-edge tech,2025-10-01,No
S043,I035,3,Best internship for learning cutting-edge tech,2025-06-24,Yes
S096,I057,4,Best internship for learning cutting-edge tech,2025-08-27,Yes
S089,I064,4,Great stipend and learning opportunities,2025-08-06,Yes
S094,I055,3,Good experience but could improve code reviews,2025-05-12,Yes
S070,I038,4,Good hands-on projects and team collaboration,2025-09-23,Yes
S085,I038,4,Fantastic team and meaningful work,2025-05-12,No
S055,I022,5,Fantastic team and meaningful work,2025-07-16,Yes
S008,I010,5,Good experience but could improve code reviews,2025-07-12,Maybe
S096,I021,3,Amazing work culture and challenging projects,2025-05-11,No
S057,I005,4,Good hands-on projects and team collaboration,2025-08-14,No
S047,I047,4,Excellent mentors and project ownership,2025-10-05,Maybe
S020,I058,4,Best internship for learning cutting-edge tech,2025-06-22,Yes
S074,I018,5,Best internship for learning cutting-edge tech,2025-07-04,Yes
S084,I036,4,Good hands-on projects and team collaboration,2025-10-07,No
S024,I064,5,Good experience but could improve code reviews,2025-05-23,Yes
S034,I034,5,Fantastic team and meaningful work,2025-08-20,Maybe
S037,I063,4,Good hands-on projects and team collaboration,2025-09-09,Yes
S058,I023,5,Fantastic team and meaningful work,2025-09-21,No
S041,I045,5,Good hands-on projects and team collaboration,2025-05-26,Maybe
S038,I039,5,Amazing work culture and challenging projects,2025-04-17,No
S023,I047,5,Great exposure to industry-standard tools,2025-09-12,Yes
S018,I031,5,Fantastic team and meaningful work,2025-10-07,Yes
S071,I074,4,Fantastic team and meaningful work,2025-05-25,Yes
S079,I012,3,Solid internship with real-world impact,2025-07-04,No
S093,I062,5,Good experience but could improve code reviews,2025-07-01,Maybe
S010,I017,4,Good hands-on projects and team collaboration,2025-06-20,Yes
S088,I067,4,Amazing work culture and challenging projects,2025-05-25,No
S076,I024,5,Amazing work culture and challenging projects,2025-06-25,Maybe
S008,I016,5,Amazing work culture and challenging projects,2025-07-28,Yes
S021,I042,5,Great exposure to industry-standard tools,2025-07-17,Maybe
S037,I011,4,Great exposure to industry-standard tools,2025-05-04,Maybe
S036,I017,5,Solid internship with real-world impact,2025-05-09,Maybe
S012,I065,5,Amazing work culture and challenging projects,2025-05-15,Maybe
S020,I022,5,Excellent mentors and project ownership,2025-05-12,Yes
S073,I006,5,Excellent learning experience with great mentorship,2025-09-23,Yes
S083,I074,4,Great exposure to industry-standard tools,2025-05-20,Yes
S080,I004,4,Great stipend and learning opportunities,2025-07-31,No
S039,I062,4,Good experience but could improve code reviews,2025-07-29,Yes
S010,I008,4,Fantastic team and meaningful work,2025-06-29,Yes
S060,I027,4,Excellent mentors and project ownership,2025-09-07,Yes
S092,I041,5,Best internship for learning cutting-edge tech,2025-07-03,Yes
S098,I048,5,Great stipend and learning opportunities,2025-09-16,Yes
S031,I060,3,Solid internship with real-world impact,2025-06-20,Yes
S019,I013,3,Solid internship with real-world impact,2025-07-07,Maybe
S054,I032,5,Amazing work culture and challenging projects,2025-07-22,Maybe
S093,I041,4,Amazing work culture and challenging projects,2025-06-08,Maybe
S060,I064,4,Fantastic team and meaningful work,2025-10-08,Yes
S051,I065,4,Great exposure to industry-standard tools,2025-08-19,Maybe
S046,I007,3,Solid internship with real-world impact,2025-06-09,Maybe
S084,I061,4,Great stipend and learning opportunities,2025-10-11,Yes
S056,I018,4,Best internship for learning cutting-edge tech,2025-07-02,Yes
S006,I052,3,Excellent mentors and project ownership,2025-05-23,Yes
S047,I071,4,Good hands-on projects and team collaboration,2025-07-07,Maybe
S058,I071,4,Excellent mentors and project ownership,2025-04-22,Maybe
S016,I017,3,Good experience but could improve code reviews,2025-07-10,Yes
S072,I047,5,Amazing work culture and challenging projects,2025-08-24,Maybe
S066,I052,5,Excellent learning experience with great mentorship,2025-10-02,Yes
S018,I043,5,Fantastic team and meaningful work,2025-06-03,Yes
S020,I066,4,Best internship for learning cutting-edge tech,2025-05-10,Yes
S021,I051,5,Solid internship with real-world impact,2025-05-15,Yes
S065,I066,5,Fantastic team and meaningful work,2025-05-22,Yes
S061,I003,4,Best internship for learning cutting-edge tech,2025-04-24,Yes
S054,I075,4,Excellent learning experience with great mentorship,2025-05-14,Yes
S034,I075,5,Great exposure to industry-standard tools,2025-09-30,Maybe
S062,I022,5,Excellent mentors and project ownership,2025-07-08,Yes
S088,I032,3,Excellent mentors and project ownership,2025-04-17,Yes
S025,I003,4,Best internship for learning cutting-edge tech,2025-06-28,Yes
S053,I027,4,Great stipend and learning opportunities,2025-05-10,Yes
S095,I008,5,Amazing work culture and challenging projects,2025-06-03,Yes
S072,I042,5,Fantastic team and meaningful work,2025-06-01,Yes
S041,I023,4,Great stipend and learning opportunities,2025-07-18,Maybe
S046,I034,5,Fantastic team and meaningful work,2025-08-25,Yes
S036,I072,4,Great exposure to industry-standard tools,2025-07-29,Yes
S091,I027,5,Fantastic team and meaningful work,2025-07-24,Yes
S045,I072,5,Solid internship with real-world impact,2025-08-01,Yes
S074,I070,4,Good experience but could improve code reviews,2025-07-17,Yes
S038,I006,4,Good hands-on projects and team collaboration,2025-07-17,Yes
S084,I033,5,Fantastic team and meaningful work,2025-08-20,Yes
S069,I035,5,Solid internship with real-world impact,2025-09-08,Yes
S079,I031,4,Excellent learning experience with great mentorship,2025-04-25,Maybe
S029,I030,3,Good hands-on projects and team collaboration,2025-06-30,Yes
S092,I061,3,Amazing work culture and challenging projects,2025-10-12,Maybe
S021,I053,5,Fantastic team and meaningful work,2025-06-13,No
S026,I037,4,Solid internship with real-world impact,2025-05-01,Yes
S099,I012,5,Excellent mentors and project ownership,2025-08-15,Maybe
S095,I005,4,Good experience but could improve code reviews,2025-08-29,Yes
S051,I064,4,Solid internship with real-world impact,2025-10-04,Yes
S039,I073,5,Good hands-on projects and team collaboration,2025-07-20,Yes
S059,I070,5,Fantastic team and meaningful work,2025-09-09,Maybe
S060,I035,4,Good hands-on projects and team collaboration,2025-07-21,Yes
S094,I059,5,Solid internship with real-world impact,2025-08-27,Yes
S095,I044,5,Solid internship with real-world impact,2025-05-21,No
S097,I025,4,Excellent mentors and project ownership,2025-05-03,Yes
S055,I066,4,Good hands-on projects and team collaboration,2025-07-03,No
S013,I024,4,Fantastic team and meaningful work,2025-07-23,Yes
S001,I034,4,Great exposure to industry-standard tools,2025-06-21,Yes
S043,I039,5,Excellent mentors and project ownership,2025-10-11,Yes
S084,I047,5,Great exposure to industry-standard tools,2025-09-28,No
S016,I060,4,Amazing work culture and challenging projects,2025-07-02,No
S065,I040,5,Good hands-on projects and team collaboration,2025-05-03,Yes
S048,I029,4,Amazing work culture and challenging projects,2025-06-13,Yes
S059,I048,4,Great stipend and learning opportunities,2025-06-15,Maybe
S086,I028,5,Great exposure to industry-standard tools,2025-04-22,Maybe
S011,I068,4,Great stipend and learning opportunities,2025-04-16,Yes
S010,I073,3,Excellent learning experience with great mentorship,2025-05-26,Maybe
S026,I074,5,Amazing work culture and challenging projects,2025-09-01,Yes
S067,I057,3,Great exposure to industry-standard tools,2025-05-17,Yes
S012,I066,4,Excellent learning experience with great mentorship,2025-06-19,Yes
S066,I054,4,Excellent mentors and project ownership,2025-09-29,Maybe
S060,I040,5,Excellent learning experience with great mentorship,2025-07-04,Yes
S001,I028,5,Good hands-on projects and team collaboration,2025-10-02,Yes
S045,I009,5,Excellent learning experience with great mentorship,2025-09-26,Yes
S005,I037,4,Amazing work culture and challenging projects,2025-09-09,No
S094,I054,4,Good experience but could improve code reviews,2025-06-21,Yes
S049,I011,5,Great stipend and learning opportunities,2025-09-09,No
